,Name,affiliation,homepage,scholar-id,citations,h-index
1806,Jaroslaw Byrka,University of Wroclaw,http://www.ii.uni.wroc.pl/~jby,Q7GVw3AAAAAJ,1953.0,20.0
1807,Katarzyna E. Paluch,University of Wroclaw,http://www.ii.uni.wroc.pl/~abraka,iQFsxrUAAAAJ,596.0,13.0
1808,Piotr Lipinski,University of Wroclaw,http://www.ii.uni.wroc.pl/~lipinski,-X_NwR8AAAAJ,383.0,11.0
1809,Krzysztof Lorys,University of Wroclaw,http://www.ii.uni.wroc.pl/~lorys,,,
1810,Mieczysław Wodecki,University of Wroclaw,https://www.ii.uni.wroc.pl/~mwd,lqm14roAAAAJ,1467.0,19.0
1811,Anton Kummert,University of Wuppertal,https://www.tnt.uni-wuppertal.de/de/kummert.html,E_0iErAAAAAJ,2605.0,27.0
1812,Bruno Lang,University of Wuppertal,https://www.ai.uni-wuppertal.de/de/angewandte-informatik/personen/prof-bruno-lang.html,,,
1813,Ludger Humbert,University of Wuppertal,https://www.ai.uni-wuppertal.de/de/angewandte-informatik/personen/prof-ludger-humbert.html,,,
1814,Stefan Bracke,University of Wuppertal,https://www.risk-management.uni-wuppertal.de/index.php?id=3078,,,
1815,Reiner Kolla,University of Würzburg,https://www.informatik.uni-wuerzburg.de/lehrstuehleprofessuren/info5/mitarbeiter/kolla-reiner,,,
1816,Martin Hennecke,University of Würzburg,https://www.informatik.uni-wuerzburg.de/lehrstuehleprofessuren/professur-fuer-didaktik-der-informatik/team/hennecke,,,
1817,Sergio Montenegro,University of Würzburg,http://www8.informatik.uni-wuerzburg.de/mitarbeiter/montenegro,,,
1818,Dietmar Seipel,University of Würzburg,http://www1.informatik.uni-wuerzburg.de/mitarbeiterinnen/seipel-dietmar,,,
1819,Klaus Schilling,University of Würzburg,http://www7.informatik.uni-wuerzburg.de/mitarbeiter/schilling,,,
1820,Christian Glaßer,University of Würzburg,http://www1.informatik.uni-wuerzburg.de/mitarbeiterinnen/glasser-christian,,,
1821,Christopher Power,University of York,https://www-users.cs.york.ac.uk/~cpower,,,
1822,Delaram Kahrobaei,University of York,https://www-users.cs.york.ac.uk/~delaram,,,
1823,Neil C. Audsley,University of York,https://www-users.cs.york.ac.uk/~neil,VRCt1_0AAAAJ,7071.0,31.0
1824,Peter I. Cowling,University of York,https://www-users.cs.york.ac.uk/~pic,ijFwdzsAAAAJ,9672.0,44.0
1825,Vassilios G. Vassilakis,University of York,https://www-users.cs.york.ac.uk/~vv,-OzxgUwAAAAJ,1337.0,21.0
1826,Suresh Manandhar,University of York,https://www-users.cs.york.ac.uk/~suresh,EJh5zWwAAAAJ,6497.0,33.0
1827,Daning Hu,University of Zurich,http://www.ifi.uzh.ch/bi/people/hu,,,
1828,Elaine M. Huang,University of Zurich,http://www.ifi.uzh.ch/zpac/people/huang.html,,,
1829,Burkhard Stiller,University of Zurich,http://www.csg.uzh.ch/staff/stiller.html,,,
1830,Patrick Eugster,Università della Svizzera italiana,https://www.inf.usi.ch/faculty/eugstp,,,
1831,Cesare Alippi,Università della Svizzera italiana,http://home.deib.polimi.it/alippi,,,
1832,Rolf H. Krause,Università della Svizzera italiana,http://search.usi.ch/people/385ec98e41e4068a2f61ba6cdbf33c9d/Krause-Rolf,,,
1833,Antonio Carzaniga,Università della Svizzera italiana,http://www.inf.usi.ch/carzaniga,,,
1834,Christophe Gravier,Université Jean Monnet,http://satin-ppl.telecom-st-etienne.fr/cgravier,,,
1835,Kamal Deep Singh,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/connected-intelligence/staff.html,9tzP1AUAAAAJ,3268.0,22.0
1836,Thierry Fournel,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/image-science-computer-vision/seminars/by-lab-researchers/seminar-by-thierry-fournel.html,c31Sf20AAAAJ,1213.0,16.0
1837,Alain Trémeau,Université Jean Monnet,http://www.create.uwe.ac.uk/membership/tremeau.htm,XUE41swAAAAJ,3110.0,25.0
1838,Hubert Konik,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/image-science-computer-vision/staff.html,XywJFH8AAAAJ,950.0,16.0
1839,Eric Dinet,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr,,,
1840,Baptiste Jeudy,Université Jean Monnet,http://perso.univ-st-etienne.fr/jeudbapt,,,
1841,Thierry Lépine,Université Jean Monnet,https://www.facebook.com/Universite.Jean.Monnet.Saint.Etienne/photos/a.270548162964178.88971.224373240915004/1063394287012891,NxfMgRgAAAAJ,979.0,11.0
1842,Anne-Claire Legrand,Université Jean Monnet,http://univ-st-etienne.academia.edu/AnneclaireLegrand,qtlHiRYAAAAJ,159.0,7.0
1843,Philippe Ezequel,Université Jean Monnet,http://perso.univ-st-etienne.fr/ezequel,,,
1844,Virginie Fresse,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/the-lab/staff.html,,,
1845,Julien Subercaze,Université Jean Monnet,http://satin-ppl.telecom-st-etienne.fr/jsubercaze,,,
1846,Fabrice Muhlenbach,Université Jean Monnet,http://perso.univ-st-etienne.fr/muhlfabr,,,
1847,Ronald Beaubrun,Université Laval,https://monarc.ift.ulaval.ca,,,
1848,Richard Khoury,Université Laval,http://www2.ift.ulaval.ca/~rikho,,,
1849,Dany Dubé,Université Laval,http://www2.ift.ulaval.ca/~dadub100,,,
1850,Béchir Ktari,Université Laval,http://www2.ift.ulaval.ca/~ktari,,,
1851,Brahim Chaib-draa,Université Laval,http://www2.ift.ulaval.ca/~chaib,,,
1852,Laurence Capus,Université Laval,http://www2.ift.ulaval.ca/~capus,,,
1853,Mohamed Mejri,Université Laval,http://www2.ift.ulaval.ca/~mejri,,,
1854,Xavier Maldague,Université Laval,http://w3.gel.ulaval.ca/~maldagx,,,
1855,Hélène Pigot,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/helene-pigot,,,
1856,Aïda Ouangraoua,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/aida-ouangraoua,,,
1857,Richard Egli,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/richard-egli,,,
1858,Dave Touchette,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/dave-touchette,,,
1859,Jean-Pierre Dussault,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/jean-pierre-dussault,,,
1860,Gabriel Girard,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/gabriel-girard,-Zoh5mIAAAAJ,3580.0,25.0
1861,Marie Flavie Auclair-Fortier,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/marie-flavie-auclair-fortier,,,
1862,Luc Lavoie,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/luc-lavoie,,,
1863,Jean-François Raskin,Université libre de Bruxelles,http://www.ulb.ac.be/di/ssd/jfr,,,
1864,Yves Roggeman,Université libre de Bruxelles,http://www.ulb.ac.be/di/scsi/yrogge,,,
1865,Torsten Söderström,Uppsala University,http://user.it.uu.se/~ts,,,
1866,Philipp Rümmer,Uppsala University,http://www.philipp.ruemmer.org,nL2gavwAAAAJ,2939.0,33.0
1867,Gunilla Myreteg,Uppsala University,https://katalog.uu.se/empinfo/?id=N1-1002,,,
1868,Sverker Holmgren,Uppsala University,https://katalog.uu.se/profile/?id=XX3728,,,
1869,Ingrid B. Carlbom,Uppsala University,https://katalog.uu.se/empinfo/?id=N8-1286,,,
1870,Per Wahlund,Uppsala University,https://katalog.uu.se/empinfo/?id=XX2255,,,
1871,Stefan Seipel,Uppsala University,https://katalog.uu.se/empinfo/?id=N96-366,ysHeS6EAAAAJ,915.0,16.0
1872,Tjark Weber,Uppsala University,http://user.it.uu.se/~tjawe125,,,
1873,Gunilla Kreiss,Uppsala University,https://katalog.uu.se/empinfo/?id=N1-389,,,
1874,Di Yuan,Uppsala University,https://katalog.uu.se/empinfo/?id=N15-9,,,
1875,Maya G. Neytcheva,Uppsala University,http://user.it.uu.se/~maya,7R752HwAAAAJ,1379.0,20.0
1876,Bengt L. Sandblad,Uppsala University,http://user.it.uu.se/~bengts,,,
1877,Tore Risch,Uppsala University,http://user.it.uu.se/~torer,,,
1878,Thomas B. Schön,Uppsala University,http://user.it.uu.se/~thosc112/index.html,FUqUC2oAAAAJ,9558.0,45.0
1879,Roland N. Bol,Uppsala University,http://user.it.uu.se/~rolandb,,,
1880,Ingela Nyström,Uppsala University,http://www.cb.uu.se/~ingela,s5r4CW4AAAAJ,1850.0,22.0
1881,Carolina Wählby,Uppsala University,http://user.it.uu.se/~cli05194/index.html,17soDRoAAAAJ,4328.0,30.0
1882,Stephen Frezza,Uppsala University,https://www.it.uu.se/katalog/stefr116,r4FbOG0AAAAJ,439.0,12.0
1883,Bertil Gustafsson,Uppsala University,http://www.it.uu.se/katalog/bertil,,,
1884,Mats Lind,Uppsala University,https://www.it.uu.se/katalog/matslind,,,
1885,Per Gunningberg,Uppsala University,http://user.it.uu.se/~perg,,,
1886,Arnold Neville Pears,Uppsala University,http://www.it.uu.se/katalog/arnoldp,iA8v4lAAAAAJ,2272.0,21.0
1887,Kurt Otto,Uppsala University,http://www.it.uu.se/katalog/kurt,,,
1888,Kjell Orsborn,Uppsala University,https://www.it.uu.se/katalog/kjello,,,
1889,Andreas Hellander,Uppsala University,https://andreashellander.se,z2jXkqUAAAAJ,1874.0,21.0
1890,Stefanos Kaxiras,Uppsala University,https://www.it.uu.se/katalog/steka984,-FYgbQwAAAAJ,5093.0,35.0
1891,Mats Daniels,Uppsala University,http://www.it.uu.se/katalog/matsd,IPoBgPQAAAAJ,2113.0,26.0
1892,Martin Jacobsson,Uppsala University,http://www.jacobsson.nl/research,EKfrCewAAAAJ,1135.0,19.0
1893,Jarmo Rantakokko,Uppsala University,http://www.it.uu.se/katalog/jarmo,sRvwsJAAAAAJ,612.0,11.0
