,Name,University,id
284,Pinar Öztürk,NTNU,wL7HNLsAAAAJ
285,Stefanos D. Kollias,NTUA,#NAME?
286,Emmanouel A. Varvarigos,NTUA,vqtH65oAAAAJ
287,Jia Liu,Nanjing University,Q583YzMAAAAJ
288,Zhuzhong Qian,Nanjing University,#NAME?
289,Jia Liu,Nanjing University,5c8-XCAAAAJ
290,Chang Xu,Nanjing University,jlZOlxIAAAAJ 
291,Ping Yu,Nanjing University,LqQ0YXUAAAAJ
292,A. S. Madhukumar,Nanyang Technological University,mF-F-zkAAAAJ
293,James Jenn-Jier Lien,National Cheng Kung University,3nu_iw0AAAAJ
294,Sivaji Bandyopadhyay,National Institute of Technology Silchar,qaIbHNwAAAAJ
295,Shyamapada Mukherjee,National Institute of Technology Silchar,qGuy8goAAAAJ
296,Saroj K. Biswas,National Institute of Technology Silchar,KHQrZawAAAAJ
297,Biswanath Dey,National Institute of Technology Silchar,38RH3kAAAAJ
298,Anish Kumar Saha,National Institute of Technology Silchar,kEqWx-kAAAAJ
299,Ming-Sui Lee,National Taiwan University,cNNM9tQAAAAJ
300,Hwann-Tzong Chen,National Tsing Hua University,mwFy9kkAAAAJ 
301,Hwee Tou Ng,National University of Singapore,FABZCeAAAAAJ 
302,Peter J. Denning,Naval Postgraduate School,bfs3-ZoAAAAJ
303,Hamdy Soliman,New Mexico Tech,AJvh91MAAAAJ
304,Dennis E. Shasha,New York University,UQ9Ws6wAAAAJ
305,Kathryn T. Stolee,North Carolina State University,YICZNZAAAAAJ
306,Kristy Boyer,North Carolina State University,HWSuYAEAAAAJ
307,Gregg Rothermel,North Carolina State University,7XjL07wAAAAJ
308,Tiffany Barnes,North Carolina State University,2hemeGMAAAAJ
309,James Tuck,North Carolina State University,4Ulx0fyHsLwC
310,Olin Shivers,Northeastern University,4FcaMpgAAAAJ
311,Chris Amato,Northeastern University,#NAME?
312,Scott Goetz,Northern Arizona University,86BSe2oAAAAJ
313,Alok N. Choudhary,Northwestern University,q0nuNrEAAAAJ
314,Lunjin Lu,Oakland University,HkY25zMAAAAJ
315,Tanya Y. Berger-Wolf,Ohio State University,Hq28JM0AAAAJ
316,Johnson Thomas,Oklahoma State University,pyIZFggAAAAJ
317,Arunkumar Bagavathi,Oklahoma State University,1dPUUSkAAAAJ
318,Shahram ShahbazPanahi,Ontario Tech University,#NAME?
319,Clara Mancini,Open University UK,BUepGUQAAAAJ
320,Pallavi Dhagat,Oregon State University,mHQxTHEAAAAJ
321,Cindy Grimm,Oregon State University,pdCI7sAAAAJ
322,Stefan Lee,Oregon State University,Uguj_LUAAAAJ
323,James W. Hong,POSTECH,0-cL2cYAAAAJ
324,Sungwoo Park,POSTECH,Y91RynEAAAAJ
325,Suha Kwak,POSTECH,#NAME?
326,Jong Kim,POSTECH,6t2VQFwAAAAJ
327,Waldemar Celes,PUC-RIO,i0ECFCEAAAAJ
328,Luiz G. L. Fernandes,PUC-RS,ZkUd394AAAAJ
329,Dan Hao,Peking University,DWd972sAAAAJ
330,Debarati Das,Pennsylvania State University,NOSCHOLARPAGE 
331,Xinyu Xing,Pennsylvania State University,WBN9c6kAAAAJ
332,Trent Jaeger,Pennsylvania State University,JS8aznIAAAAJ
333,Viola Schiaffonati,Politecnico di Milano,oAljVVUAAAAJ
334,Manel Medina,Polytechnic University of Catalonia,pPqLc2MAAAAJ
335,Cristina Barrado,Polytechnic University of Catalonia,zhd1TaIAAAAJ
336,René Serral-Gracià,Polytechnic University of Catalonia,OQVlz4sAAAAJ
337,Jonathan Walpole,Portland State University,#NAME?
338,Suresh Singh,Portland State University,#NAME?
339,Melanie Mitchell,Portland State University,k4gbv2AAAAAJ
340,Christoph M. Hoffmann,Purdue University,bR-fLK4AAAAJ
341,Zhiyuan Li,Purdue University,ExE3z20AAAAJ
342,Pedro Fonseca,Purdue University,xTvNYN8AAAAJ
343,Ninghui Li,Purdue University,Qc_4yiYAAAAJ
344,Saugata Basu,Purdue University,8i0lYbAAAAAJ
345,Khaled Khan,Qatar University,SpQmNnoAAAAJ
346,Norman E. Fenton,Queen Mary University of London,c_cQr4EAAAAJ
347,Mury Thian,Queen's University Belfast,8ny-HR8AAAAJ
348,Ahmad Elkhateb,Queen's University Belfast,#NAME?
349,John McAllister,Queen's University Belfast,CZerWWQAAAAJ
350,Okan Yurduseven,Queen's University Belfast,sjHXrh8AAAAJ
351,Jason Ford,Queensland University of Technology,McVsAAAAJ
352,Julie Porteous,RMIT University,B3AVEIoAAAAJ
353,Geoff Leach,RMIT University,5RrkpIQAAAAJ
354,Patrick van Bommel,Radboud University,ZCKrAcYAAAAJ
355,Weiran Shen,Renmin University of China,#NAME?
356,Wayne D. Gray,Rensselaer Polytechnic Institute,h8ZzTWsAAAAJ
357,Ron Goldman,Rice University,6Vv8ZGAAAAAJ
358,David B. Johnson,Rice University,6w_geF8AAAAJ
359,Sumita Mishra,Rochester Institute of Technology,WdVZoP4AAAAJ
360,Yangming Li,Rochester Institute of Technology,NRMhdgAAAAJ
361,Jack Brimberg,Royal Military College of Canada,RAVaTi4AAAAJ
362,Qi Hao,SUSTech,#NAME?
363,Cemal Yilmaz,Sabancı University,HMxrUdQAAAAJ
364,Selim Balcisoy,Sabancı University,FGQGOIkAAAAJ
365,Tiziana Calamoneri,Sapienza University of Rome,qfO36wAAAAJ
366,Francesco Parisi-Presicce,Sapienza University of Rome,BnSDUgwAAAAJ
367,Adolfo Piperno,Sapienza University of Rome,4y2zqO8AAAAJ
368,Novella Bartolini,Sapienza University of Rome,VlgfXG4AAAAJ
369,Leonardo Querzoni,Sapienza University of Rome,#NAME?
370,Sergio De Agostino,Sapienza University of Rome,lll7oscAAAAJ
371,Emanuele Rodolà,Sapienza University of Rome,#NAME?
372,Gaia Maselli,Sapienza University of Rome,#NAME?
373,Youngki Lee,Seoul National University,Ltw2N1QAAAAJ
374,Hanbyul Joo,Seoul National University,YMgdDBwAAAAJ 
375,Bongwon Suh,Seoul National University,#NAME?
376,Kyoung Mu Lee,Seoul National University,Hofj9kAAAAAJ
377,Jianhua Yin,Shandong University,aZZfn90AAAAJ
378,Feilong Tang,Shanghai Jiao Tong University,x_WgkwcAAAAJ
379,Xiaofeng Gao,Shanghai Jiao Tong University,YfMPjhAAAAAJ
380,Ziping Zhao,ShanghaiTech University,fYYmZDsAAAAJ
381,Amir Hossein Jahangir,Sharif University of Technology,1R13EcIAAAAJ
382,Jian-Qiang Li,Shenzhen University,#NAME?
383,Yang Zhao,Shenzhen University,c__OdBoAAAAJ
384,Min Hun Lee,Singapore Management University,quDiEBkAAAA
385,Jisun An,Singapore Management University,6hkR3hEAAAAJ
386,Juntao Li,Soochow University,sZSygsYAAAAJ
387,Reshma Khemchandani,South Asian University,NqIkygEAAAAJ 
388,Nick McKeown,Stanford University,SqMUez0AAAAJ
389,Dorsa Sadigh,Stanford University,MEeYxLMAAAAJ
390,Steve Kroon,Stellenbosch University,#NAME?
391,Enrique Dunn,Stevens Institute of Technology,eEOX_EoAAAAJ
392,Wei Zhu,Stony Brook University,9jshr6QAAAAJ
393,Haibin Ling,Stony Brook University,jWx3qtIAAAAJ
394,Erez Zadok,Stony Brook University,ZG4V_jYAAAAJ
395,Pramod K. Varshney,Syracuse University,PLvsUUcAAAAJ
396,Rolf Niedermeier,TU Berlin,NC3NEUkAAAAJ
397,Friedel Gerfers,TU Berlin,kKlgNRQAAAAJ
398,Ina Schieferdecker,TU Berlin,#NAME?
