Name,affiliation,homepage,scholar-id,citations,h-index
Tuo Zhao,Georgia Institute of Technology,https://www2.isye.gatech.edu/~tzhao80,EJXN6tYAAAAJ,4767.0,30.0
Richard A. DeMillo,Georgia Institute of Technology,http://c21u.gatech.edu/team/staff/demillo,Pil9rEEAAAAJ,13019.0,35.0
Lauren Wilcox,Georgia Institute of Technology,http://laurenwilcox.net,7aexN-cAAAAJ,2183.0,24.0
Frank Dellaert,Georgia Institute of Technology,https://www.cc.gatech.edu/~dellaert,ZxXBaswAAAAJ,28913.0,71.0
Thomas Ploetz,Georgia Institute of Technology,https://www.cc.gatech.edu/people/thomas-ploetz,kM95eWgAAAAJ,7557.0,42.0
Betsy DiSalvo,Georgia Institute of Technology,http://betsydisalvo.com,BXEDBDUAAAAJ,1541.0,23.0
Alexandros Daglis,Georgia Institute of Technology,https://www.cc.gatech.edu/~adaglis3,Mm-dHpMAAAAJ,595.0,12.0
Alberto Dainotti,Georgia Institute of Technology,https://www.cc.gatech.edu/~adainotti6,oZNdAREAAAAJ,4386.0,33.0
Annie I. Antón,Georgia Institute of Technology,http://www.cc.gatech.edu/people/annie-anton,IQosWycAAAAJ,8875.0,51.0
Rahul C. Basole,Georgia Institute of Technology,http://www.cc.gatech.edu/people/rahul-basole,MKSxZp4AAAAJ,5909.0,36.0
Ashutosh Dhekne,Georgia Institute of Technology,https://www.cc.gatech.edu/~dhekne,gGB3lA4AAAAJ,574.0,11.0
Andrea G. Parker,Georgia Institute of Technology,https://www.cc.gatech.edu/~andrea,zh8E4voAAAAJ,2055.0,24.0
Seth A. Hutchinson,Georgia Institute of Technology,https://www.cc.gatech.edu/~seth,-JPZ21IAAAAJ,24784.0,49.0
Ashok K. Goel,Georgia Institute of Technology,https://home.cc.gatech.edu/dil/3,VjNg25EAAAAJ,10454.0,50.0
Leo Mark,Georgia Institute of Technology,https://pe.gatech.edu/executive-leadership-team/leo-mark-phd,,,
Moinuddin K. Qureshi,Georgia Institute of Technology,http://moin.ece.gatech.edu,EWU0STsAAAAJ,12579.0,48.0
Tobin Isaac,Georgia Institute of Technology,http://triquadtethex.org,SpDPpqgAAAAJ,1112.0,11.0
Colin Potts,Georgia Institute of Technology,http://oue.gatech.edu/content/colin-potts,NXtRD1cAAAAJ,6429.0,36.0
James M. Rehg,Georgia Institute of Technology,http://rehg.org,8kA3eDwAAAAJ,27965.0,82.0
Angelos D. Keromytis,Georgia Institute of Technology,https://angelosk.github.io,mncyWbcAAAAJ,26573.0,81.0
Alex Endert,Georgia Institute of Technology,http://va.gatech.edu/endert,_ZIAy3cAAAAJ,4354.0,34.0
Chao Zhang,Georgia Institute of Technology,http://chaozhang.org,CeEO6SIAAAAJ,4550.0,33.0
Vivek Sarkar,Georgia Institute of Technology,http://vsarkar.cc.gatech.edu,XjeIqxYAAAAJ,19940.0,69.0
Michael L. Best,Georgia Institute of Technology,http://mikeb.inta.gatech.edu,gLLhIb8AAAAJ,5655.0,20.0
Sahil Singla,Georgia Institute of Technology,https://www.cc.gatech.edu/~ssingla7,BHZT068AAAAJ,868.0,16.0
Thomas M. Conte,Georgia Institute of Technology,https://www.ece.gatech.edu/faculty-staff-directory/thomas-m-conte,FzBDS4gAAAAJ,5627.0,39.0
Diyi Yang,Georgia Institute of Technology,https://www.cc.gatech.edu/~dyang888,j9jhYqQAAAAJ,8239.0,35.0
Wenke Lee,Georgia Institute of Technology,http://wenke.gtisc.gatech.edu,nfkH5V4AAAAJ,43913.0,96.0
Alan Ritter,Georgia Institute of Technology,http://aritter.github.io,unXtH3IAAAAJ,10523.0,31.0
Janet L. Kolodner,Georgia Institute of Technology,https://home.cc.gatech.edu/jlk,iAbp65AAAAAJ,23050.0,57.0
Mark O. Riedl,Georgia Institute of Technology,https://research.cc.gatech.edu/inc/mark-riedl,Yg_QjxcAAAAJ,8199.0,46.0
Ümit V. Çatalyürek,Georgia Institute of Technology,https://www.cc.gatech.edu/~umit,OLDMURQAAAAJ,11595.0,58.0
Raheem A. Beyah,Georgia Institute of Technology,https://rbeyah.ece.gatech.edu,KhnJQ20AAAAJ,4701.0,38.0
Tushar Krishna,Georgia Institute of Technology,http://tusharkrishna.ece.gatech.edu,P__ztgcAAAAJ,11572.0,31.0
Charles M. Eastman,Georgia Institute of Technology,http://arch.gatech.edu/charles-eastman,,,
Munmun De Choudhury,Georgia Institute of Technology,http://www.munmund.net,Z9Pfp6UAAAAJ,12616.0,60.0
Joy Arulraj,Georgia Institute of Technology,https://www.cc.gatech.edu/~jarulraj,rp8dOfAAAAAJ,1418.0,15.0
Jacob D. Abernethy,Georgia Institute of Technology,https://www.cc.gatech.edu/~jabernethy9,FDu4ciwAAAAJ,3308.0,28.0
