,name,affiliation,homepage,scholar_id,citations,h-index
146,Abhishek Mishra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,Ayz2rOwAAAAJ,1562.0,19.0
147,Abhishek Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ,42.0,4.0
148,Abhishek Srivastava,IIT Indore,http://cse.iiti.ac.in/faculty.html,8DUQgIIAAAAJ,,
149,Abhradeep Guha Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ,3995.0,26.0
150,Abhradeep Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ,3995.0,26.0
151,Abilio Lucena,UFRJ,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/2201-abiliolucena,_YS2DcIAAAAJ,1535.0,21.0
152,Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ,1978.0,15.0
153,Abolfazl Asudeh,University of Illinois at Chicago,https://asudeh.github.io,cJXIgasAAAAJ,609.0,15.0
154,Abolfazl Razi,Northern Arizona University,https://nau.edu/siccs/faculty/abolfazl-razi,DhwC8gsAAAAJ,1112.0,20.0
155,Abolfazl S. Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ,4142.0,25.0
156,Abolfazl Seyed Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ,4142.0,25.0
157,Abraham Bernstein,University of Zurich,http://www.ifi.uzh.ch/ddis/people/bernstein.html,ZYNjTykAAAAJ,12982.0,58.0
158,Abraham Duarte,Universidad Rey Juan Carlos,http://grafo.etsii.urjc.es/group-member/abrahamduarte,wsBEPbYAAAAJ,4134.0,39.0
159,Abraham G. Campbell,University College Dublin,https://people.ucd.ie/abey.campbell,TWRYXGMAAAAJ,486.0,11.0
160,Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,#NAME?,,
161,Abram Hindle,University of Alberta,http://softwareprocess.es,vuT1ZlUAAAAJ,5873.0,40.0
162,Abtin Rahimian,University of Colorado Boulder,http://home.cs.colorado.edu/~abra3237,2iXwFdsAAAAJ,741.0,11.0
163,Abu Asaduzzaman,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,WYv3oSEAAAAJ,705.0,13.0
164,Abu Sayed Md. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,703.0,14.0
165,Abul Kashem,BUET,https://cse.buet.ac.bd/faculty_list/detail/kashem,NOSCHOLARPAGE,,
166,Abusayeed M. Saifullah,Iowa State University,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ,4478.0,29.0
167,Abusayeed Saifullah,Iowa State University,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ,4478.0,29.0
168,Abutalib Aghayev,Pennsylvania State University,https://agayev.github.io,Kfb6IZ4AAAAJ,377.0,8.0
169,Abyayananda Maiti,IIT Patna,https://iitp.ac.in/index.php/departments/computer-center/people/head/1095-dr-abyayananda-maiti.html,N49XT94AAAAJ,123.0,6.0
170,Achi Brandt,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2041,NOSCHOLARPAGE,,
171,Achille Pattavina,Politecnico di Milano,http://home.deib.polimi.it/pattavina,NOSCHOLARPAGE,,
172,Achim Blumensath,Masaryk University,https://www.muni.cz/en/people/237782,NOSCHOLARPAGE,,
173,Achim D. Brucker,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/ab1185,ZWePF1QAAAAJ,2701.0,29.0
174,Achim Ebert,TU Kaiserslautern,https://hci.uni-kl.de/people/achim-ebert,tnoNj9gAAAAJ,1390.0,19.0
175,Achim Jung,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/jung-achim.aspx,hCqqihQAAAAJ,3401.0,22.0
176,Achim Schweikard,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=321,NOSCHOLARPAGE,,
177,Achim Streit,Karlsruhe Institute of Technology,http://www.scc.kit.edu/personen/achim.streit.php,i72A44MAAAAJ,3474.0,28.0
178,Achutavarrier Prasad Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,,
179,Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ,3372.0,29.0
180,Ada Wai-Chee Fu,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~adafu,tcwyqtUAAAAJ,17146.0,63.0
181,Adalbert Gerald Soosai Raj,Univ. of California - San Diego,https://adalbertgerald.github.io,0TxoLzMAAAAJ,232.0,8.0
182,Adalberto L. Simeone,KU Leuven,https://www.adalsimeone.me,NwkRNhkAAAAJ,933.0,14.0
183,Adalberto Lafcadio Simeone,KU Leuven,https://www.adalsimeone.me,NwkRNhkAAAAJ,933.0,14.0
184,Adam A. Porter,University of Maryland - College Park,https://www.cs.umd.edu/users/aporter,j7F7yq0AAAAJ,,
185,Adam Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ,2540.0,21.0
186,Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,http://adambates.org,1dVglBkAAAAJ,2199.0,26.0
187,Adam Belay,Massachusetts Institute of Technology,https://engineering.mit.edu/faculty-research/year-2017,AKQec5wAAAAJ,2176.0,15.0
188,Adam Chlipala,Massachusetts Institute of Technology,http://adam.chlipala.net,Imh0w3AAAAAJ,3672.0,29.0
189,Adam Czajka,University of Notre Dame,https://engineering.nd.edu/profiles/aczajka,_OObpEkAAAAJ,1331.0,18.0
190,Adam D. Smith,Boston University,http://www.cse.psu.edu/~ads22,fkGi-JMAAAAJ,21793.0,55.0
191,Adam Doupé,Arizona State University,http://adamdoupe.com,hsJqhNAAAAAJ,2603.0,25.0
192,Adam Finkelstein,Princeton University,https://www.cs.princeton.edu/~af,a959F6AAAAAJ,14790.0,53.0
193,Adam Hahn,Washington State University,http://www.eecs.wsu.edu/~ahahn/index.html,nGBlVWwAAAAJ,5252.0,22.0
194,Adam Herout,Brno University of Technology,https://www.fit.vut.cz/person/herout,qQDbJDMAAAAJ,2359.0,25.0
195,Adam J. Aviv,George Washington University,https://adamaviv.com,ExgxufEAAAAJ,,
196,Adam J. Lee,University of Pittsburgh,http://people.cs.pitt.edu/~adamlee,1IoFK0oAAAAJ,2528.0,25.0
197,Adam Jatowt,University of Innsbruck,https://adammo12.github.io/adamjatowt,l2vn9GoAAAAJ,3781.0,30.0
198,Adam Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,UD87zMYAAAAJ,3776.0,35.0
199,Adam Krzyzak,Concordia University,http://users.encs.concordia.ca/~krzyzak,fYbg3F8AAAAJ,11682.0,40.0
200,Adam Lopez,University of Edinburgh,http://alopez.github.io,u4sxKZwAAAAJ,2862.0,27.0
201,Adam M. Bates,Univ. of Illinois at Urbana-Champaign,http://adambates.org,1dVglBkAAAAJ,2199.0,26.0
202,Adam M. Smith 0001,Univ. of California - Santa Cruz,https://adamsmith.as,78OLNd4AAAAJ,1888.0,21.0
203,Adam Morrison 0001,Tel Aviv University,http://www.cs.tau.ac.il/~mad,GMEoZR0AAAAJ,1285.0,19.0
204,Adam O'Neill,University of Massachusetts Amherst,https://www.cics.umass.edu/people/oneill-adam,SIFRrBIAAAAJ,5197.0,20.0
205,Adam P. Chester,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/adam_chester,ogEgU6HzEJQC,125.0,6.0
206,Adam Prügel-Bennett,University of Southampton,https://www.ecs.soton.ac.uk/people/apb1,oQgxYjkAAAAJ,4827.0,37.0
207,Adam Przepiórkowski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/adam-przepiorkowski,volQDFMAAAAJ,4733.0,37.0
208,Adam R. Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,UD87zMYAAAAJ,3776.0,35.0
209,Adam Rogalewicz,Brno University of Technology,https://www.fit.vut.cz/person/rogalew,NOSCHOLARPAGE,,
210,Adam Steele,DePaul University,http://facweb.cs.depaul.edu/asteele,NOSCHOLARPAGE,,
211,Adam W. Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ,2540.0,21.0
212,Adam Wade Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ,2540.0,21.0
213,Adam Wierman,California Institute of Technology,http://www.cs.caltech.edu/~adamw,4OvOdSgAAAAJ,9528.0,52.0
